유형	인물	대사
narration	나레이션	(여동생의 폰으로 걸려오는 전화. 사수 번호이다.)
talk	여동생	사수님인데? 출발하신지 얼마 안 됐는데 벌써 전화라니.
narration	나레이션	(전화를 건네 받는다.)
talk	사수	안녕하세요, 오빠 분 회사 선배입니다. 혹시 옆에 계신가요?
talk	나	선배님, 제가 받았습니다. 출근하시는 길 아니세요?
talk	사수	아, 응. 지금 운전 중이야. 다름이 아니라 전화 좀 돌려봤는데,/이 대리가 졸피뎀을 처방 받은 적이 있나봐? 우울증 때문에?
talk	나	오? 아니 근데 누가 그런 고급 정보를?
talk	사수	누군지는 말해주기 그렇고, 회식에서 술 마시고 얘기했었대./근데 너 입사하기 전일거고, 지금은 우울증 많이 좋아지신듯?
talk	나	1년 넘게 됐나보네요. 경찰이 처방 기록 열람할 수 있겠죠?
talk	사수	응. 뭐, 새로 처방 받은건 아니어도 몇 알 남아있을 수 있겠지?/아무튼 이번 일 끝나고 나면 고기 한 번 사. 둘이 밥 함 먹자.
talk	나	감사합니다! 저 내일부터는 제 폰으로 연락될 것 같습니다./내일 경찰 조사 받고 연락드릴게요. 다시 한 번 감사합니다.
narration	나레이션	(전화를 끊고, 여동생에게 폰을 돌려준다.)
talk	여동생	처방 기록이라니? 이 대리님 수면제 처방 받은 적 있는거야?
talk	나	응, 졸피뎀이라는데? 너가 지금 먹는 약이랑 같은거 아니야?
talk	여동생	맞아. 생각보다 약효가 오래가서 조심해야하는 약이야./과잉 복용하면 다음날 아침에 운전해야할 때도 조심해야해.
talk	나	그럼 전날 복용했어도 다음날 체내에서 나올 수 있는건가.
talk	여동생	아무리 경찰이 바보여도, 반감기는 고려해서 수사하지 않을까?
talk	나	그렇긴 하네. 아니 도무지 언제, 어떻게 졸피뎀을 탄거야?
talk	여동생	그럼 평상시 습관대로 무슨 일이 있었을지 시뮬레이션 해보자.
talk	나	그러기엔 내가 매일 사는 캔 커피를 산게 아니어서 애매해./나는 안 좋아하는, 과장님이 좋아하는 브랜드 제품을 샀던데?
talk	여동생	어쨋든 새 커피를 산거고, 누군가 몰래 탄거 아니야.
object		TV
talk	앵커	강원도 산길 사고'의 CCTV를 단독 입수해 보도해드립니다.
talk	앵커	피의자가 수면제를 탄 것으로 추정되는 휴게소의 영상입니다./세 명의 남성이 탄 차량에서 유독 한 남성이 느리게 내립니다.
talk	앵커	회사의 한 관계자에 따르면 출장 중인 세 남성은 함께 있었으며,/휴게소에서 처음으로 떨어졌을 것이라고 추정했습니다. 
talk	앵커	발견된 수면제가 거의 즉각적인 효능을 발휘한다는 점,/휴게소 방문 직후 사고가 났다는 점에서 유의미한 증거입니다.
think	나	아, 왜 저렇게 흐린거야. 도무지 누구인지 구분이 안 가네./저 때도 내가 화장실 가야한다고 해서 들렸을 것 같은데..
think	나	아무리 생각해도 내 커피에 대리님이 졸피뎀을 탄 것 같아./뒤도 안 돌아보고 갈거 뻔하니까 편하게 탔을 수 있을거야.
talk	여동생	오빠가 먼저 내린거 아니야? 또 커피 이뇨작용 탓 하면서?
talk	나	아무리 생각해도 대리님이 범인인 것 같지?
result		10
